Ticker,Sector
MMM,industrials
AOS,industrials
AAON,industrials
ABT,healthcare
ABBV,healthcare
ACHC,healthcare
ACN,technology
AYI,industrials
ADBE,technology
ADT,consumer-cyclical
WMS,industrials
AMD,technology
ACM,industrials
AES,utilities
AMG,financial-services
AFRM,technology
AFL,financial-services
AGCO,industrials
A,healthcare
ADC,real-estate
AGNC,financial-services
AL,industrials
APD,basic-materials
ABNB,consumer-cyclical
AKAM,technology
ALK,industrials
ALB,basic-materials
ACI,consumer-defensive
AA,basic-materials
ARE,real-estate
ALGN,healthcare
ALLE,industrials
ALGM,technology
LNT,utilities
ALSN,industrials
ALL,financial-services
ALLY,financial-services
ALNY,healthcare
GOOGL,communication-services
GOOG,communication-services
MO,consumer-defensive
AMZN,consumer-cyclical
AMCR,basic-materials
DOX,technology
AMTM,industrials
AS,consumer-cyclical
AEE,utilities
AAL,industrials
AEP,utilities
AXP,financial-services
AFG,financial-services
AMH,real-estate
AIG,financial-services
AMT,real-estate
AWK,utilities
COLD,real-estate
AMP,financial-services
AME,industrials
AMGN,healthcare
AMKR,technology
APH,technology
ADI,technology
AU,basic-materials
NLY,financial-services
AM,energy
AR,energy
AON,financial-services
APA,energy
APG,industrials
APO,financial-services
APPF,technology
AAPL,technology
AIT,industrials
AMAT,technology
APP,technology
ATR,basic-materials
APTV,consumer-cyclical
ARMK,consumer-cyclical
ACGL,financial-services
ADM,consumer-defensive
ARES,financial-services
ANET,technology
AWI,industrials
ARW,technology
AJG,financial-services
ASH,basic-materials
AIZ,financial-services
AGO,financial-services
ALAB,technology
ASTS,communication-services
T,communication-services
ATI,industrials
TEAM,technology
ATO,utilities
AUR,technology
ADSK,technology
ADP,industrials
AN,consumer-cyclical
AZO,consumer-cyclical
AVB,real-estate
AVTR,healthcare
AVY,basic-materials
CAR,industrials
AVT,technology
AXTA,basic-materials
AXS,financial-services
AXON,industrials
BKR,energy
BALL,basic-materials
BAC,financial-services
OZK,financial-services
BBWI,consumer-cyclical
BAX,healthcare
BDX,healthcare
BRBR,consumer-defensive
BSY,technology
BRK-B,financial-services
BBY,consumer-cyclical
BILL,technology
BIO,healthcare
TECH,healthcare
BIIB,healthcare
BMRN,healthcare
BIRK,consumer-cyclical
BJ,consumer-defensive
BLK,financial-services
BX,financial-services
HRB,consumer-cyclical
XYZ,financial-services
OWL,financial-services
BNY,financial-services
BA,industrials
BOKF,financial-services
BKNG,consumer-cyclical
BAH,industrials
BWA,consumer-cyclical
SAM,consumer-defensive
BSX,healthcare
BYD,consumer-cyclical
BFAM,consumer-cyclical
BHF,financial-services
BMY,healthcare
BRX,real-estate
AVGO,technology
BR,industrials
BAM,financial-services
BEPC,utilities
BRO,financial-services
BF-A,consumer-defensive
BF-B,consumer-defensive
BRKR,healthcare
BC,consumer-cyclical
BLDR,industrials
BLSH,financial-services
BG,consumer-defensive
BURL,consumer-cyclical
BWXT,industrials
BXP,real-estate
CHRW,industrials
CACI,industrials
CDNS,technology
CZR,consumer-cyclical
CPT,real-estate
CPB,consumer-defensive
COF,financial-services
CAH,healthcare
CAI,healthcare
CSL,industrials
CG,financial-services
KMX,consumer-cyclical
CCL,consumer-cyclical
CRS,basic-materials
CARR,industrials
CVNA,consumer-cyclical
CASY,consumer-defensive
CAT,industrials
CAVA,consumer-cyclical
CBOE,financial-services
CBRE,real-estate
CCC,technology
CDW,technology
CE,basic-materials
CELH,consumer-defensive
COR,healthcare
CNC,healthcare
CNP,utilities
CBC,financial-services
CERT,healthcare
CF,basic-materials
CRL,healthcare
SCHW,financial-services
CHTR,communication-services
CHE,healthcare
LNG,energy
CVX,energy
CHWY,consumer-cyclical
CMG,consumer-cyclical
CHH,consumer-cyclical
CHRD,energy
CB,financial-services
CHD,consumer-defensive
CHDN,consumer-cyclical
CIEN,technology
CI,healthcare
CINF,financial-services
CTAS,industrials
CRCL,technology
CRUS,technology
CSCO,technology
C,financial-services
CFG,financial-services
CLVT,industrials
CLH,industrials
CWEN-A,utilities
CWEN,utilities
CLF,basic-materials
CLX,consumer-defensive
NET,technology
CME,financial-services
CMS,utilities
CNA,financial-services
CNH,industrials
KO,consumer-defensive
COKE,consumer-defensive
CGNX,technology
CTSH,technology
COHR,technology
COIN,financial-services
CL,consumer-defensive
COLB,financial-services
COLM,consumer-cyclical
CMCSA,communication-services
FIX,industrials
CBSH,financial-services
CAG,consumer-defensive
CNXC,technology
COP,energy
ED,utilities
STZ,consumer-defensive
CEG,utilities
COO,healthcare
CPRT,industrials
CORT,healthcare
CNM,industrials
GLW,technology
CPAY,financial-services
CTVA,basic-materials
CSGP,real-estate
COST,consumer-defensive
COTY,consumer-defensive
CPNG,consumer-cyclical
CUZ,real-estate
CR,industrials
CXT,industrials
CACC,financial-services
CRH,basic-materials
CROX,consumer-cyclical
CRWD,technology
CCI,real-estate
CCK,basic-materials
CSX,industrials
CUBE,real-estate
CMI,industrials
CW,industrials
CVS,healthcare
DHI,consumer-cyclical
DHR,healthcare
DRI,consumer-cyclical
DAR,consumer-defensive
DDOG,technology
DVA,healthcare
DECK,consumer-cyclical
DE,industrials
DAL,industrials
DELL,technology
XRAY,healthcare
DVN,energy
DXCM,healthcare
FANG,energy
DKS,consumer-cyclical
DLR,real-estate
DDS,consumer-cyclical
DOCU,technology
DLB,technology
DG,consumer-defensive
DLTR,consumer-defensive
D,utilities
DPZ,consumer-cyclical
DCI,industrials
DASH,consumer-cyclical
DV,technology
DOV,industrials
DOW,basic-materials
DOCS,healthcare
DKNG,consumer-cyclical
DBX,technology
DTM,energy
DTE,utilities
DUK,utilities
DUOL,consumer-cyclical
DD,basic-materials
BROS,consumer-cyclical
DXC,technology
DT,technology
ELF,consumer-defensive
EXP,basic-materials
EWBC,financial-services
EGP,real-estate
EMN,basic-materials
ETN,industrials
EBAY,consumer-cyclical
ECL,basic-materials
EIX,utilities
EW,healthcare
ELAN,healthcare
ESTC,technology
EA,communication-services
ESI,basic-materials
ELV,healthcare
EME,industrials
EMR,industrials
EHC,healthcare
ENPH,technology
ENTG,technology
ETR,utilities
NVST,healthcare
EOG,energy
EPAM,technology
EPR,real-estate
EQT,energy
EFX,industrials
EQIX,real-estate
EQH,financial-services
ELS,real-estate
EQR,real-estate
ESAB,industrials
WTRG,utilities
ESS,real-estate
EL,consumer-defensive
ETSY,consumer-cyclical
EEFT,financial-services
EVR,financial-services
EG,financial-services
EVRG,utilities
PSTG,technology
ES,utilities
ECG,industrials
EXEL,healthcare
EXC,utilities
EXLS,industrials
EXE,energy
EXPE,consumer-cyclical
EXPD,industrials
EXR,real-estate
XOM,energy
FFIV,technology
FDS,financial-services
FICO,technology
FAST,industrials
FRT,real-estate
FDX,industrials
FERG,industrials
FRMI,real-estate
FNF,financial-services
FIS,financial-services
FITB,financial-services
FIGR,financial-services
FAF,financial-services
FCNCA,financial-services
FHB,financial-services
FHN,financial-services
FR,real-estate
FSLR,technology
FE,utilities
FISV,financial-services
FIVE,consumer-cyclical
FLEX,technology
FND,consumer-cyclical
FLO,consumer-defensive
FLS,industrials
FLUT,consumer-cyclical
FMC,basic-materials
FNB,financial-services
F,consumer-cyclical
FTNT,technology
FTV,industrials
FBIN,industrials
FOXA,communication-services
FOX,communication-services
BEN,financial-services
FRHC,financial-services
FCX,basic-materials
FRPT,consumer-defensive
CFR,financial-services
FTAI,industrials
FCN,industrials
GME,consumer-cyclical
GLPI,real-estate
GAP,consumer-cyclical
GRMN,consumer-cyclical
IT,technology
GTES,industrials
GLIBA,communication-services
GLIBK,communication-services
GE,industrials
GEHC,healthcare
GEV,industrials
GEN,technology
GNRC,industrials
GD,industrials
GIS,consumer-defensive
GM,consumer-cyclical
G,industrials
GNTX,consumer-cyclical
GPC,consumer-cyclical
GILD,healthcare
GTLB,technology
GPN,financial-services
GFS,technology
GLOB,technology
GL,financial-services
GMED,healthcare
GDDY,technology
GS,financial-services
GGG,industrials
LOPE,consumer-cyclical
GPK,basic-materials
GWRE,technology
GXO,industrials
HAL,energy
HALO,healthcare
HLNE,financial-services
THG,financial-services
HOG,consumer-cyclical
HIG,financial-services
HAS,consumer-cyclical
HAYW,industrials
HCA,healthcare
HR,real-estate
DOC,real-estate
HEI-A,industrials
HEI,industrials
JKHY,financial-services
HSY,consumer-defensive
HPE,technology
HXL,industrials
DINO,energy
HIW,real-estate
HLT,consumer-cyclical
HD,consumer-cyclical
HON,industrials
HRL,consumer-defensive
HST,real-estate
HLI,financial-services
HHH,real-estate
HWM,industrials
HPQ,technology
HUBB,industrials
HUBS,technology
HUM,healthcare
HBAN,financial-services
HII,industrials
HUN,basic-materials
H,consumer-cyclical
IAC,communication-services
IBM,technology
IDA,utilities
IEX,industrials
IDXX,healthcare
ITW,industrials
ILMN,healthcare
INCY,healthcare
IR,industrials
INGM,technology
INGR,consumer-defensive
INSM,healthcare
INSP,healthcare
PODD,healthcare
INTC,technology
IBKR,financial-services
ICE,financial-services
IFF,basic-materials
IP,basic-materials
INTU,technology
ISRG,healthcare
IVZ,financial-services
INVH,real-estate
IONS,healthcare
IPGP,technology
IQV,healthcare
IRDM,communication-services
IRM,real-estate
ITT,industrials
JBL,technology
J,industrials
JHX,basic-materials
JHG,financial-services
JAZZ,healthcare
JBHT,industrials
JEF,financial-services
JNJ,healthcare
JCI,industrials
JLL,real-estate
JPM,financial-services
KRMN,industrials
KBR,industrials
KMPR,financial-services
KVUE,consumer-defensive
KDP,consumer-defensive
KEY,financial-services
KEYS,technology
KRC,real-estate
KMB,consumer-defensive
KIM,real-estate
KMI,energy
KNSL,financial-services
KEX,industrials
KKR,financial-services
KLAC,technology
KNX,industrials
KHC,consumer-defensive
KR,consumer-defensive
KD,technology
LHX,industrials
LH,healthcare
LRCX,technology
LAMR,real-estate
LW,consumer-defensive
LSTR,industrials
LVS,consumer-cyclical
LSCC,technology
LAZ,financial-services
LEA,consumer-cyclical
LDOS,industrials
LEN,consumer-cyclical
LEN-B,consumer-cyclical
LII,industrials
DRS,industrials
LBRDA,communication-services
LBRDK,communication-services
LBTYA,communication-services
LBTYK,communication-services
FWONA,communication-services
FWONK,communication-services
LLYVA,communication-services
LLYVK,communication-services
LLY,healthcare
LECO,industrials
LNC,financial-services
LIN,basic-materials
LINE,real-estate
LAD,consumer-cyclical
LFUS,technology
LYV,communication-services
LKQ,consumer-cyclical
LOAR,industrials
LMT,industrials
L,financial-services
LPX,basic-materials
LOW,consumer-cyclical
LPLA,financial-services
LCID,consumer-cyclical
LULU,consumer-cyclical
LITE,technology
LYFT,industrials
LYB,basic-materials
MTB,financial-services
MTSI,technology
M,consumer-cyclical
MSGS,communication-services
MANH,technology
MAN,industrials
CART,consumer-defensive
MPC,energy
MKL,financial-services
MKTX,financial-services
MAR,consumer-cyclical
MRSH,financial-services
MLM,basic-materials
MRVL,technology
MAS,industrials
MASI,healthcare
MTZ,industrials
MA,financial-services
MTDR,energy
MTCH,communication-services
MAT,consumer-cyclical
MKC,consumer-defensive
MCD,consumer-cyclical
MCK,healthcare
MDU,utilities
MPT,real-estate
MDLN,healthcare
MEDP,healthcare
MDT,healthcare
MRK,healthcare
META,communication-services
MET,financial-services
MTD,healthcare
MTG,financial-services
MGM,consumer-cyclical
MCHP,technology
MU,technology
MSFT,technology
MSTR,technology
MAA,real-estate
MIDD,industrials
TIGO,communication-services
MRP,consumer-cyclical
MKSI,technology
MRNA,healthcare
MHK,consumer-cyclical
MOH,healthcare
TAP,consumer-defensive
MDLZ,consumer-defensive
MDB,technology
MPWR,technology
MNST,consumer-defensive
MCO,financial-services
MS,financial-services
MORN,financial-services
MOS,basic-materials
MSI,technology
MP,basic-materials
MSA,industrials
MSM,industrials
MSCI,financial-services
MLI,industrials
MUSA,consumer-cyclical
NDAQ,financial-services
NTRA,healthcare
NFG,utilities
NSA,real-estate
NCNO,technology
NTAP,technology
NFLX,communication-services
NBIX,healthcare
NYT,communication-services
NWL,consumer-cyclical
NEU,basic-materials
NEM,basic-materials
NWSA,communication-services
NWS,communication-services
NXST,communication-services
NEE,utilities
NIQ,communication-services
NKE,consumer-cyclical
NI,utilities
NNN,real-estate
NDSN,industrials
NSC,industrials
NTRS,financial-services
NOC,industrials
NCLH,consumer-cyclical
NOV,energy
NRG,utilities
NU,financial-services
NUE,basic-materials
NTNX,technology
NVT,industrials
NVDA,technology
NVR,consumer-cyclical
ORLY,consumer-cyclical
OXY,energy
OGE,utilities
OKTA,technology
ODFL,industrials
ORI,financial-services
OLN,basic-materials
OLLI,consumer-cyclical
OHI,real-estate
OMC,communication-services
ONON,consumer-cyclical
ON,technology
OMF,financial-services
OKE,energy
ONTO,technology
ORCL,technology
OGN,healthcare
OSK,industrials
OTIS,industrials
OVV,energy
OC,industrials
PCAR,industrials
PKG,basic-materials
PLTR,technology
PANW,technology
PK,real-estate
PH,industrials
PSN,industrials
PAYX,industrials
PAYC,technology
PCTY,technology
PYPL,financial-services
PEGA,technology
PENN,consumer-cyclical
PAG,consumer-cyclical
PNR,industrials
PEN,healthcare
PEP,consumer-defensive
PFGC,consumer-defensive
PR,energy
PRGO,healthcare
PFE,healthcare
PCG,utilities
PM,consumer-defensive
PSX,energy
PPC,consumer-defensive
PNFP,financial-services
PNW,utilities
PINS,communication-services
PLNT,consumer-cyclical
PNC,financial-services
POOL,consumer-cyclical
BPOP,financial-services
POST,consumer-defensive
PPG,basic-materials
PPL,utilities
TROW,financial-services
PRI,financial-services
PRMB,consumer-defensive
PFG,financial-services
PCOR,technology
PG,consumer-defensive
PGR,financial-services
PLD,real-estate
PB,financial-services
PRU,financial-services
PTC,technology
PSA,real-estate
PEG,utilities
PHM,consumer-cyclical
PVH,consumer-cyclical
QGEN,healthcare
Q,technology
QRVO,technology
QCOM,technology
PWR,industrials
QS,consumer-cyclical
DGX,healthcare
QXO,industrials
RAL,technology
RL,consumer-cyclical
RRC,energy
RJF,financial-services
RYN,real-estate
RBA,industrials
RBC,industrials
O,real-estate
RDDT,communication-services
RRX,industrials
REG,real-estate
REGN,healthcare
RF,financial-services
RGA,financial-services
RS,basic-materials
RNR,financial-services
RGEN,healthcare
RSG,industrials
RMD,healthcare
QSR,consumer-cyclical
RVMD,healthcare
RVTY,healthcare
REXR,real-estate
REYN,consumer-defensive
RH,consumer-cyclical
RNG,technology
RITM,financial-services
RIVN,consumer-cyclical
RLI,financial-services
RHI,industrials
HOOD,financial-services
RBLX,communication-services
RKT,financial-services
RKLB,industrials
ROK,industrials
ROIV,healthcare
ROKU,communication-services
ROL,industrials
ROP,industrials
ROST,consumer-cyclical
RCL,consumer-cyclical
RGLD,basic-materials
RPRX,healthcare
RPM,basic-materials
RTX,industrials
RBRK,technology
RYAN,financial-services
R,industrials
SPGI,financial-services
SAIA,industrials
SAIL,technology
SAIC,industrials
CRM,technology
SLM,financial-services
IOT,technology
SNDK,technology
SRPT,healthcare
SBAC,real-estate
HSIC,healthcare
SLB,energy
SNDR,industrials
SMG,basic-materials
SEB,consumer-defensive
SEIC,financial-services
SRE,utilities
ST,industrials
S,technology
SCI,consumer-cyclical
NOW,technology
SN,consumer-cyclical
SHW,basic-materials
FOUR,technology
SLGN,basic-materials
SPG,real-estate
SSD,industrials
SIRI,communication-services
SITE,industrials
SWKS,technology
SFD,consumer-defensive
SJM,consumer-defensive
SW,basic-materials
SNA,industrials
SNOW,technology
SOFI,financial-services
SOLS,basic-materials
SOLV,healthcare
SGI,consumer-cyclical
SON,basic-materials
SHC,healthcare
SO,utilities
SCCO,basic-materials
SSB,financial-services
LUV,industrials
SPOT,communication-services
SFM,consumer-defensive
SSNC,technology
STAG,real-estate
SARO,industrials
SWK,industrials
SBUX,consumer-cyclical
STWD,financial-services
STT,financial-services
STLD,basic-materials
STE,healthcare
SF,financial-services
SYK,healthcare
SMMT,healthcare
SUI,real-estate
SMCI,technology
SYF,financial-services
SNPS,technology
SYY,consumer-defensive
TMUS,communication-services
TTWO,communication-services
TLN,utilities
TPR,consumer-cyclical
TRGP,energy
TGT,consumer-defensive
SNX,technology
FTI,energy
TDY,industrials
TFX,healthcare
TEM,healthcare
THC,healthcare
TDC,technology
TER,technology
TSLA,consumer-cyclical
TTEK,industrials
TXN,technology
TPL,energy
TXRH,consumer-cyclical
TXT,industrials
TMO,healthcare
TFSL,financial-services
THO,consumer-cyclical
TKR,industrials
TJX,consumer-cyclical
TKO,communication-services
TOST,technology
TOL,consumer-cyclical
BLD,consumer-cyclical
TTC,industrials
TPG,financial-services
TSCO,consumer-cyclical
TTD,communication-services
TW,financial-services
TT,industrials
TDG,industrials
TRU,industrials
TNL,consumer-cyclical
TRV,financial-services
TREX,industrials
TRMB,technology
TFC,financial-services
DJT,communication-services
TWLO,technology
TYL,technology
TSN,consumer-defensive
UHAL,industrials
UHAL-B,industrials
USB,financial-services
UBER,industrials
UI,technology
UDR,real-estate
UGI,utilities
PATH,technology
ULTA,consumer-cyclical
RARE,healthcare
UAA,consumer-cyclical
UA,consumer-cyclical
UNP,industrials
UAL,industrials
UPS,industrials
URI,industrials
UTHR,healthcare
UWMC,financial-services
UNH,healthcare
U,technology
OLED,technology
UHS,healthcare
UNM,financial-services
USFD,consumer-defensive
MTN,consumer-cyclical
VLO,energy
VMI,industrials
VVV,basic-materials
VEEV,healthcare
VTR,real-estate
VLTO,industrials
VRSN,technology
VRSK,industrials
VZ,communication-services
VSNT,communication-services
VGNT,consumer-cyclical
VRTX,healthcare
VRT,industrials
VFC,consumer-cyclical
VTRS,healthcare
VICI,real-estate
VIK,consumer-cyclical
VKTX,healthcare
VNOM,energy
VIRT,financial-services
V,financial-services
VST,utilities
VNT,technology
VNO,real-estate
VOYA,financial-services
VMC,basic-materials
WPC,real-estate
WRB,financial-services
GWW,industrials
WAB,industrials
WMT,consumer-defensive
DIS,communication-services
WBD,communication-services
WM,industrials
WAT,healthcare
WSO,industrials
W,consumer-cyclical
WFRD,energy
WBS,financial-services
WEC,utilities
WFC,financial-services
WELL,real-estate
WEN,consumer-cyclical
WCC,industrials
WST,healthcare
WAL,financial-services
WDC,technology
WU,technology
WLK,basic-materials
WEX,financial-services
WY,real-estate
WHR,consumer-cyclical
WTM,financial-services
WMB,energy
WSM,consumer-cyclical
WTW,financial-services
WSC,industrials
WING,consumer-cyclical
WTFC,financial-services
WWD,industrials
WDAY,technology
WH,consumer-cyclical
WYNN,consumer-cyclical
XEL,utilities
XP,financial-services
XPO,industrials
XYL,industrials
YETI,consumer-cyclical
YUM,consumer-cyclical
ZBRA,technology
ZG,real-estate
Z,real-estate
ZBH,healthcare
ZION,financial-services
ZTS,healthcare
ZM,technology
GTM,communication-services
ZS,technology
